"id","platform","requests_handled","words_processed","avg_cpu_utilized","timestamp","success_rate","avg_vmemory_utilized","num_paragraphs"
4819,"ec2",5,1799906,14.34,"2023-11-29 02:13:42.773744",1,57.98,1
4820,"ec2",5,1799906,14.34,"2023-11-29 02:13:43.453996",1,57.98,1
4821,"ec2",29,13042599,17.099999999999998,"2023-11-29 02:14:42.764154",1,62.986206896551735,10000
4822,"ec2",29,13042599,17.099999999999998,"2023-11-29 02:14:43.444462",1,62.986206896551735,10000
4823,"ec2",27,12150387,15.14074074074074,"2023-11-29 02:15:42.763425",1,65.22962962962963,10000
4824,"ec2",27,12150387,15.14074074074074,"2023-11-29 02:15:43.443892",1,65.22962962962963,10000
4825,"ec2",27,12146875,17.340740740740742,"2023-11-29 02:16:42.792639",1,67.37037037037037,10000
4826,"ec2",27,12146875,17.340740740740742,"2023-11-29 02:16:43.443802",1,67.37037037037037,10000
4827,"ec2",29,13040624,16.451724137931034,"2023-11-29 02:17:42.764232",1,69.23103448275862,10000
4828,"ec2",29,13040624,16.451724137931034,"2023-11-29 02:17:43.444704",1,69.23103448275862,10000
4829,"ec2",27,12148760,15.51851851851852,"2023-11-29 02:18:42.781673",1,70.97037037037036,10000
4830,"ec2",27,12148760,15.51851851851852,"2023-11-29 02:18:43.450077",1,70.97037037037036,10000
4831,"ec2",25,11254121,15.151999999999997,"2023-11-29 02:19:42.763495",1,65.71600000000004,10000
4832,"ec2",25,11254121,15.151999999999997,"2023-11-29 02:19:43.444861",1,65.71600000000004,10000
4833,"ec2",29,13045796,17.117241379310343,"2023-11-29 02:20:42.764583",1,66.81724137931036,10000
4834,"ec2",29,13045796,17.117241379310343,"2023-11-29 02:20:43.444415",1,66.81724137931036,10000
4835,"ec2",25,11244839,15.728,"2023-11-29 02:21:42.764763",1,68.27199999999998,10000
4836,"ec2",26,11692939,15.634615384615385,"2023-11-29 02:21:43.444822",1,68.29999999999998,10000
4837,"ec2",26,11696836,15.334615384615384,"2023-11-29 02:22:42.763755",1,69.81538461538463,10000
4838,"ec2",25,11248736,15.415999999999999,"2023-11-29 02:22:43.530983",1,69.84800000000003,10000
4839,"ec2",26,11698018,15.79615384615385,"2023-11-29 02:23:42.765545",1,71.8423076923077,10000
4840,"ec2",26,11698018,15.79615384615385,"2023-11-29 02:23:43.445157",1,71.8423076923077,10000
4841,"ec2",25,11248222,15.388000000000002,"2023-11-29 02:24:42.784059",1,71.93999999999997,10000
4842,"ec2",25,11248222,15.388000000000002,"2023-11-29 02:24:43.444794",1,71.93999999999997,10000
4843,"ec2",27,12155429,16.22222222222222,"2023-11-29 02:25:42.763508",1,72.36666666666667,10000
4844,"ec2",27,12155429,16.22222222222222,"2023-11-29 02:25:43.443964",1,72.36666666666667,10000
4845,"ec2",23,10347850,14.539130434782608,"2023-11-29 02:26:42.764135",1,72.3086956521739,10000
4846,"ec2",23,10347850,14.539130434782608,"2023-11-29 02:26:43.484927",1,72.31249999999999,10000
4847,"ec2",25,11247671,15.56,"2023-11-29 02:27:42.764188",1,72.47200000000004,10000
4848,"ec2",26,11699250,15.538461538461538,"2023-11-29 02:27:43.444226",1,72.48076923076927,10000
4849,"ec2",29,13051752,16.906896551724135,"2023-11-29 02:28:42.764346",1,73.3620689655173,10000
4850,"ec2",29,13049405,16.865517241379305,"2023-11-29 02:28:43.454063",1,73.41034482758624,10000
4851,"ec2",25,11249027,16.183999999999997,"2023-11-29 02:29:42.763563",1,73.90800000000004,10000
4852,"ec2",24,10799795,16.28333333333333,"2023-11-29 02:29:43.444079",1,73.90000000000003,10000
