"id","platform","requests_handled","words_processed","avg_cpu_utilized","timestamp","success_rate","avg_vmemory_utilized","num_paragraphs"
4511,"ec2",36,16194399,19.480555555555554,"2023-11-28 20:40:34.055765",1,76.7416666666667,10000
4512,"ec2",35,15744213,19.608571428571427,"2023-11-28 20:40:34.725177",1,76.74857142857145,10000
4513,"ec2",31,13936853,18.019354838709674,"2023-11-28 20:41:34.056475",1,76.86451612903228,10000
4514,"ec2",31,13936853,18.019354838709674,"2023-11-28 20:41:34.837932",1,76.86451612903228,10000
4515,"ec2",35,15743324,19.774285714285714,"2023-11-28 20:42:34.055916",1,76.90000000000005,10000
4516,"ec2",35,15743324,19.774285714285714,"2023-11-28 20:42:34.720916",1,76.90000000000005,10000
4517,"ec2",28,16657571,20.339285714285715,"2023-11-28 20:43:34.056346",1,79,10000
4518,"ec2",28,16657571,20.339285714285715,"2023-11-28 20:43:34.721444",1,79,10000
4519,"ec2",19,17098678,20.836842105263155,"2023-11-28 20:44:34.055863",1,88.02105263157895,20000
4520,"ec2",19,17098678,20.836842105263155,"2023-11-28 20:44:34.720938",1,88.02105263157895,20000
4521,"ec2",17,15299105,18.347058823529412,"2023-11-28 20:45:34.055208",1,90.06470588235292,20000
4522,"ec2",18,16199179,18.644444444444446,"2023-11-28 20:45:34.721883",1,90.06666666666665,20000
4523,"ec2",18,16199283,19.66111111111111,"2023-11-28 20:46:34.060033",1,89.9777777777778,20000
4524,"ec2",18,16198212,19.383333333333336,"2023-11-28 20:46:34.726369",1,89.96666666666668,20000
4525,"ec2",21,18900110,20.504761904761907,"2023-11-28 20:47:34.054576",1,89.36190476190475,20000
4526,"ec2",20,18001107,20.595000000000002,"2023-11-28 20:47:34.721155",1,89.33500000000001,20000
4527,"ec2",19,17096477,20.11052631578948,"2023-11-28 20:48:34.055909",1,89.74736842105264,20000
4528,"ec2",19,17096477,20.11052631578948,"2023-11-28 20:48:34.853044",1,89.76000000000002,20000
4529,"ec2",21,18903848,20.757142857142856,"2023-11-28 20:49:34.05508",1,90.91428571428571,20000
4530,"ec2",21,18903848,20.757142857142856,"2023-11-28 20:49:34.724469",1,90.91428571428571,20000
4531,"ec2",19,17095862,20.784210526315793,"2023-11-28 20:50:34.054725",1,91.3894736842105,20000
4532,"ec2",20,17994341,20.560000000000002,"2023-11-28 20:50:34.720555",1,91.38499999999998,20000
4533,"ec2",21,18886572,21.03333333333333,"2023-11-28 20:51:34.055326",1,88.84761904761905,20000
4534,"ec2",20,17988093,21.27,"2023-11-28 20:51:34.727899",1,88.725,20000
4535,"ec2",19,17099846,20.515789473684205,"2023-11-28 20:52:34.054723",1,83.45263157894736,20000
4536,"ec2",20,17999800,20.624999999999993,"2023-11-28 20:52:34.720759",1,83.55999999999999,20000
4537,"ec2",18,16202914,19.494444444444447,"2023-11-28 20:53:34.056647",1,85.6388888888889,20000
4538,"ec2",17,15302960,19.30588235294118,"2023-11-28 20:53:34.752497",1,85.64117647058825,20000
4539,"ec2",16,14398991,17.681250000000002,"2023-11-28 20:54:34.054818",1,85.70000000000003,20000
4540,"ec2",16,14398991,17.681250000000002,"2023-11-28 20:54:35.14754",1,85.70000000000003,20000
4541,"ec2",16,14398914,17.94375,"2023-11-28 20:55:34.056895",1,85.74999999999999,20000
4542,"ec2",16,14398914,17.94375,"2023-11-28 20:55:34.720767",1,85.74999999999999,20000
4543,"ec2",15,13499436,17.233333333333334,"2023-11-28 20:56:34.056742",1,85.96000000000001,20000
4544,"ec2",16,14396572,17.21875,"2023-11-28 20:56:34.724062",1,85.98750000000001,20000
4545,"ec2",17,15298077,17.735294117647058,"2023-11-28 20:57:34.055047",1,86.72352941176472,20000
4546,"ec2",16,14400941,17.78125,"2023-11-28 20:57:34.720427",1,86.74375,20000
4547,"ec2",15,13508333,17.09333333333333,"2023-11-28 20:58:34.061267",1,89.11999999999999,20000
4548,"ec2",15,13508333,17.09333333333333,"2023-11-28 20:58:34.949783",1,89.11999999999999,20000
4549,"ec2",16,14404032,16.70625,"2023-11-28 20:59:34.055393",1,90.40000000000002,20000
4550,"ec2",16,14404032,16.70625,"2023-11-28 20:59:34.7218",1,90.40000000000002,20000
4551,"ec2",15,13490569,17.4,"2023-11-28 21:00:34.055424",1,90.40000000000002,20000
4552,"ec2",15,13490569,17.4,"2023-11-28 21:00:34.866937",1,90.40000000000002,20000
4553,"ec2",17,15298696,17.370588235294115,"2023-11-28 21:01:34.055186",1,90.40000000000002,20000
4554,"ec2",17,15298696,17.370588235294115,"2023-11-28 21:01:34.721615",1,90.40000000000002,20000
4555,"ec2",15,13492513,17.240000000000002,"2023-11-28 21:02:34.055358",1,90.40000000000002,20000
4556,"ec2",15,13492513,17.240000000000002,"2023-11-28 21:02:34.722006",1,90.40000000000002,20000
4557,"ec2",16,14406371,17.35625,"2023-11-28 21:03:34.054986",1,90.40000000000002,20000
4558,"ec2",16,14406371,17.35625,"2023-11-28 21:03:34.721018",1,90.40000000000002,20000
4559,"ec2",16,14400387,17.606250000000003,"2023-11-28 21:04:34.055833",1,90.40000000000002,20000
4560,"ec2",16,14400387,17.606250000000003,"2023-11-28 21:04:34.722825",1,90.40000000000002,20000
4561,"ec2",18,16210035,18.15555555555555,"2023-11-28 21:05:34.05624",1,90.40000000000003,20000
4562,"ec2",18,16210035,18.15555555555555,"2023-11-28 21:05:34.722777",1,90.40000000000003,20000
4563,"ec2",17,15301345,18.647058823529413,"2023-11-28 21:06:34.054848",1,90.50588235294119,20000
4564,"ec2",18,16201668,18.82777777777778,"2023-11-28 21:06:34.721469",1,90.54444444444447,20000
4565,"ec2",16,14403961,16.849999999999998,"2023-11-28 21:07:34.069511",1,91.20000000000003,20000
4566,"ec2",15,13503638,16.513333333333332,"2023-11-28 21:07:34.721393",1,91.20000000000003,20000
4567,"ec2",17,15296384,18.04117647058823,"2023-11-28 21:08:34.055116",1,91.20000000000003,20000
4568,"ec2",17,15296384,18.04117647058823,"2023-11-28 21:08:34.720577",1,91.20000000000003,20000
4569,"ec2",16,14403269,17.4125,"2023-11-28 21:09:34.063341",1,91.20625000000003,20000
4570,"ec2",16,14403269,17.4125,"2023-11-28 21:09:34.721866",1,91.20625000000003,20000
4571,"ec2",14,12603634,16.7,"2023-11-28 21:10:34.0556",1,91.25714285714285,20000
4572,"ec2",14,12603634,16.7,"2023-11-28 21:10:34.80152",1,91.25714285714285,20000
4573,"ec2",16,14391951,16.812500000000004,"2023-11-28 21:11:34.055009",1,91.29999999999997,20000
4574,"ec2",16,14391951,16.812500000000004,"2023-11-28 21:11:34.720815",1,91.29999999999997,20000
4575,"ec2",16,14403857,17.79375,"2023-11-28 21:12:34.05467",1,91.29375,20000
4576,"ec2",16,14403857,17.79375,"2023-11-28 21:12:34.721514",1,91.29375,20000
4577,"ec2",14,15301898,18.200000000000003,"2023-11-28 21:13:34.055625",1,91.80714285714285,20000
4578,"ec2",14,15301898,18.200000000000003,"2023-11-28 21:13:34.720561",1,91.80714285714285,20000
4579,"ec2",13,17546842,19.500000000000004,"2023-11-28 21:14:34.059859",1,94.03846153846153,30000
4580,"ec2",13,17546842,19.500000000000004,"2023-11-28 21:14:34.72159",1,94.03846153846153,30000
