"id","platform","requests_handled","words_processed","avg_cpu_utilized","timestamp","success_rate","avg_vmemory_utilized","num_paragraphs"
1411,"lightsail",21,9453848,7.204761904761904,"2023-11-28 02:54:29.781537",1,40.87142857142857,10000
1412,"lightsail",21,9450920,7.219047619047619,"2023-11-28 02:54:32.384007",1,40.838095238095235,10000
1415,"lightsail",20,8994440,7.484999999999998,"2023-11-28 02:55:29.782823",1,40.955000000000005,10000
1416,"lightsail",20,8995406,7.429999999999998,"2023-11-28 02:55:32.875759",1,41.06666666666668,10000
1419,"lightsail",22,9894943,7.545454545454546,"2023-11-28 02:56:29.782912",1,40.8590909090909,10000
1420,"lightsail",22,9894362,7.536363636363637,"2023-11-28 02:56:32.383897",1,40.82272727272727,10000
1423,"lightsail",20,8995787,7.015000000000001,"2023-11-28 02:57:29.786141",1,41.795,10000
1424,"lightsail",19,8547052,7.01578947368421,"2023-11-28 02:57:32.790298",1,41.855000000000004,10000
1427,"lightsail",19,9893202,7.4263157894736835,"2023-11-28 02:58:29.780988",1,42.54736842105263,10000
1430,"lightsail",12,10801105,8.358333333333333,"2023-11-28 02:59:29.782666",1,46.4,20000
1433,"lightsail",12,10796895,8.516666666666667,"2023-11-28 03:00:29.781476",1,47.708333333333336,20000
1434,"lightsail",13,11695233,8.553846153846154,"2023-11-28 03:00:32.384997",1,47.815384615384616,20000
1437,"lightsail",12,10800272,8.025,"2023-11-28 03:01:29.793469",1,48.241666666666674,20000
1438,"lightsail",12,10801313,8.066666666666666,"2023-11-28 03:01:32.384316",1,48.074999999999996,20000
1441,"lightsail",12,10793779,7.891666666666667,"2023-11-28 03:02:29.78063",1,48.00833333333335,20000
1442,"lightsail",11,9894400,7.745454545454546,"2023-11-28 03:02:32.475577",1,48.09090909090909,20000
1445,"lightsail",12,10799953,8.35,"2023-11-28 03:03:29.785061",1,47.449999999999996,20000
1446,"lightsail",13,11699171,8.46923076923077,"2023-11-28 03:03:32.387845",1,47.42307692307692,20000
1449,"lightsail",12,10796641,8.783333333333333,"2023-11-28 03:04:29.781544",1,49.03333333333334,20000
1450,"lightsail",12,10797436,8.533333333333333,"2023-11-28 03:04:32.38496",1,49.041666666666664,20000
1453,"lightsail",13,11705554,8.207692307692309,"2023-11-28 03:05:29.78239",1,47.43846153846153,20000
1456,"lightsail",12,10794525,8.15,"2023-11-28 03:06:29.781321",1,50.333333333333336,20000
1457,"lightsail",12,10794525,8.15,"2023-11-28 03:06:32.385188",1,50.333333333333336,20000
1460,"lightsail",12,10794342,8.458333333333334,"2023-11-28 03:07:29.781266",1,51.291666666666664,20000
1461,"lightsail",12,10794342,8.458333333333334,"2023-11-28 03:07:32.684854",1,51.291666666666664,20000
1464,"lightsail",13,11712021,8.523076923076923,"2023-11-28 03:08:29.785121",1,51.64615384615384,20000
1465,"lightsail",14,12612823,8.514285714285714,"2023-11-28 03:08:32.385064",1,51.657142857142844,20000
1468,"lightsail",12,10799101,8.216666666666667,"2023-11-28 03:09:29.78379",1,51.79999999999999,20000
1469,"lightsail",12,10796509,8.200000000000001,"2023-11-28 03:09:32.389425",1,51.76666666666666,20000
1472,"lightsail",13,11700043,8.430769230769231,"2023-11-28 03:10:29.780746",1,51.43076923076922,20000
1473,"lightsail",12,10801833,8.430769230769233,"2023-11-28 03:10:33.201038",1,51.43846153846153,20000
1476,"lightsail",13,11702525,8.553846153846154,"2023-11-28 03:11:29.781376",1,52.5,20000
1479,"lightsail",12,10802600,8.616666666666665,"2023-11-28 03:12:29.795915",1,53.89166666666666,20000
1480,"lightsail",13,11700829,8.638461538461538,"2023-11-28 03:12:32.384525",1,53.89230769230768,20000
1483,"lightsail",13,11703997,13.176923076923078,"2023-11-28 03:13:29.782853",1,53.98461538461538,20000
1484,"lightsail",13,11704097,13.092307692307692,"2023-11-28 03:13:32.385075",1,53.99230769230769,20000
1487,"lightsail",13,11706316,8.584615384615383,"2023-11-28 03:14:29.781414",1,53.93846153846153,20000
1488,"lightsail",13,11710746,8.738461538461538,"2023-11-28 03:14:32.385174",1,53.96153846153845,20000
1491,"lightsail",13,11706603,8.576923076923077,"2023-11-28 03:15:29.783307",1,54.26923076923077,20000
1495,"lightsail",13,11703447,8.73076923076923,"2023-11-28 03:16:29.785867",1,54.25384615384615,20000
1499,"lightsail",13,11705416,8.692307692307692,"2023-11-28 03:17:29.782976",1,54.29230769230769,20000
1503,"lightsail",13,11701343,8.746153846153845,"2023-11-28 03:18:29.782779",1,53.91538461538463,20000
1507,"lightsail",12,10795174,8.791666666666666,"2023-11-28 03:19:29.781848",1,55.04166666666666,20000
1511,"lightsail",13,11690628,8.776923076923078,"2023-11-28 03:20:29.781413",1,54.56153846153845,20000
1492,"lightsail",13,11701735,8.523076923076921,"2023-11-28 03:15:32.385786",1,54.26153846153847,20000
